STATION,STATION_NAME,DATE,HPCP
COOP:474961,MADISON DANE CO REGIONAL AIRPORT WI US,19650101 01:00,0.00
COOP:474961,MADISON DANE CO REGIONAL AIRPORT WI US,19650101 16:00,0.01
COOP:474961,MADISON DANE CO REGIONAL AIRPORT WI US,19650101 17:00,0.01
COOP:474961,MADISON DANE CO REGIONAL AIRPORT WI US,19650101 18:00,0.01
COOP:474961,MADISON DANE CO REGIONAL AIRPORT WI US,19650101 19:00,0.02
COOP:474961,MADISON DANE CO REGIONAL AIRPORT WI US,19650101 20:00,0.02
COOP:474961,MADISON DANE CO REGIONAL AIRPORT WI US,19650101 21:00,0.05
COOP:474961,MADISON DANE CO REGIONAL AIRPORT WI US,19650101 22:00,0.02
COOP:474961,MADISON DANE CO REGIONAL AIRPORT WI US,19650101 23:00,0.06
COOP:474961,MADISON DANE CO REGIONAL AIRPORT WI US,19650102 00:00,0.05
COOP:474961,MADISON DANE CO REGIONAL AIRPORT WI US,19650102 01:00,0.03
COOP:474961,MADISON DANE CO REGIONAL AIRPORT WI US,19650102 02:00,0.02
COOP:474961,MADISON DANE CO REGIONAL AIRPORT WI US,19650107 17:00,0.01
COOP:474961,MADISON DANE CO REGIONAL AIRPORT WI US,19650107 18:00,0.01
COOP:474961,MADISON DANE CO REGIONAL AIRPORT WI US,19650108 11:00,0.03
COOP:474961,MADISON DANE CO REGIONAL AIRPORT WI US,19650108 12:00,0.02
COOP:474961,MADISON DANE CO REGIONAL AIRPORT WI US,19650108 13:00,0.02
COOP:474961,MADISON DANE CO REGIONAL AIRPORT WI US,19650108 14:00,0.02
COOP:474961,MADISON DANE CO REGIONAL AIRPORT WI US,19650112 20:00,0.01
COOP:474961,MADISON DANE CO REGIONAL AIRPORT WI US,19650112 21:00,0.01
COOP:474961,MADISON DANE CO REGIONAL AIRPORT WI US,19650112 22:00,0.01
COOP:474961,MADISON DANE CO REGIONAL AIRPORT WI US,19650114 19:00,0.01
COOP:474961,MADISON DANE CO REGIONAL AIRPORT WI US,19650114 20:00,0.01
COOP:474961,MADISON DANE CO REGIONAL AIRPORT WI US,19650114 21:00,0.01
COOP:474961,MADISON DANE CO REGIONAL AIRPORT WI US,19650115 08:00,0.01
COOP:474961,MADISON DANE CO REGIONAL AIRPORT WI US,19650115 09:00,0.01
COOP:474961,MADISON DANE CO REGIONAL AIRPORT WI US,19650120 10:00,0.01
COOP:474961,MADISON DANE CO REGIONAL AIRPORT WI US,19650122 08:00,0.01
COOP:474961,MADISON DANE CO REGIONAL AIRPORT WI US,19650122 10:00,0.01
COOP:474961,MADISON DANE CO REGIONAL AIRPORT WI US,19650122 11:00,0.02
COOP:474961,MADISON DANE CO REGIONAL AIRPORT WI US,19650122 12:00,0.04
COOP:474961,MADISON DANE CO REGIONAL AIRPORT WI US,19650122 13:00,0.01
COOP:474961,MADISON DANE CO REGIONAL AIRPORT WI US,19650122 15:00,0.02
COOP:474961,MADISON DANE CO REGIONAL AIRPORT WI US,19650122 16:00,0.04
COOP:474961,MADISON DANE CO REGIONAL AIRPORT WI US,19650122 17:00,0.04
COOP:474961,MADISON DANE CO REGIONAL AIRPORT WI US,19650122 18:00,0.05
COOP:474961,MADISON DANE CO REGIONAL AIRPORT WI US,19650122 19:00,0.04
COOP:474961,MADISON DANE CO REGIONAL AIRPORT WI US,19650122 20:00,0.02
COOP:474961,MADISON DANE CO REGIONAL AIRPORT WI US,19650122 21:00,0.03
COOP:474961,MADISON DANE CO REGIONAL AIRPORT WI US,19650122 22:00,0.02
COOP:474961,MADISON DANE CO REGIONAL AIRPORT WI US,19650122 23:00,0.01
COOP:474961,MADISON DANE CO REGIONAL AIRPORT WI US,19650123 00:00,0.04
COOP:474961,MADISON DANE CO REGIONAL AIRPORT WI US,19650123 01:00,0.06
COOP:474961,MADISON DANE CO REGIONAL AIRPORT WI US,19650123 02:00,0.04
COOP:474961,MADISON DANE CO REGIONAL AIRPORT WI US,19650123 03:00,0.04
COOP:474961,MADISON DANE CO REGIONAL AIRPORT WI US,19650123 04:00,0.01
COOP:474961,MADISON DANE CO REGIONAL AIRPORT WI US,19650123 05:00,0.01
COOP:474961,MADISON DANE CO REGIONAL AIRPORT WI US,19650123 06:00,0.03
COOP:474961,MADISON DANE CO REGIONAL AIRPORT WI US,19650123 07:00,0.03
COOP:474961,MADISON DANE CO REGIONAL AIRPORT WI US,19650123 08:00,0.03
COOP:474961,MADISON DANE CO REGIONAL AIRPORT WI US,19650123 09:00,0.01
COOP:474961,MADISON DANE CO REGIONAL AIRPORT WI US,19650123 13:00,0.01
COOP:474961,MADISON DANE CO REGIONAL AIRPORT WI US,19650123 15:00,0.01
COOP:474961,MADISON DANE CO REGIONAL AIRPORT WI US,19650123 17:00,0.01
COOP:474961,MADISON DANE CO REGIONAL AIRPORT WI US,19650123 18:00,0.01
COOP:474961,MADISON DANE CO REGIONAL AIRPORT WI US,19650123 22:00,0.01
COOP:474961,MADISON DANE CO REGIONAL AIRPORT WI US,19650123 23:00,0.01
COOP:474961,MADISON DANE CO REGIONAL AIRPORT WI US,19650124 00:00,0.01
COOP:474961,MADISON DANE CO REGIONAL AIRPORT WI US,19650125 22:00,0.01
COOP:474961,MADISON DANE CO REGIONAL AIRPORT WI US,19650125 23:00,0.03
COOP:474961,MADISON DANE CO REGIONAL AIRPORT WI US,19650126 00:00,0.02
COOP:474961,MADISON DANE CO REGIONAL AIRPORT WI US,19650126 01:00,0.02
COOP:474961,MADISON DANE CO REGIONAL AIRPORT WI US,19650126 02:00,0.04
COOP:474961,MADISON DANE CO REGIONAL AIRPORT WI US,19650126 03:00,0.04
COOP:474961,MADISON DANE CO REGIONAL AIRPORT WI US,19650126 04:00,0.03
COOP:474961,MADISON DANE CO REGIONAL AIRPORT WI US,19650126 05:00,0.02
COOP:474961,MADISON DANE CO REGIONAL AIRPORT WI US,19650126 06:00,0.04
COOP:474961,MADISON DANE CO REGIONAL AIRPORT WI US,19650126 07:00,0.03
COOP:474961,MADISON DANE CO REGIONAL AIRPORT WI US,19650127 20:00,0.01
COOP:474961,MADISON DANE CO REGIONAL AIRPORT WI US,19650127 21:00,0.01
COOP:474961,MADISON DANE CO REGIONAL AIRPORT WI US,19650131 17:00,0.04
COOP:474961,MADISON DANE CO REGIONAL AIRPORT WI US,19650131 18:00,0.04
COOP:474961,MADISON DANE CO REGIONAL AIRPORT WI US,19650131 19:00,0.06
COOP:474961,MADISON DANE CO REGIONAL AIRPORT WI US,19650131 20:00,0.06
COOP:474961,MADISON DANE CO REGIONAL AIRPORT WI US,19650131 21:00,0.03
COOP:474961,MADISON DANE CO REGIONAL AIRPORT WI US,19650131 22:00,0.02
COOP:474961,MADISON DANE CO REGIONAL AIRPORT WI US,19650131 23:00,0.02
COOP:474961,MADISON DANE CO REGIONAL AIRPORT WI US,19650201 01:00,0.00
COOP:474961,MADISON DANE CO REGIONAL AIRPORT WI US,19650201 02:00,0.01
COOP:474961,MADISON DANE CO REGIONAL AIRPORT WI US,19650201 04:00,0.01
COOP:474961,MADISON DANE CO REGIONAL AIRPORT WI US,19650207 23:00,0.03
COOP:474961,MADISON DANE CO REGIONAL AIRPORT WI US,19650208 00:00,0.01
COOP:474961,MADISON DANE CO REGIONAL AIRPORT WI US,19650208 01:00,0.01
COOP:474961,MADISON DANE CO REGIONAL AIRPORT WI US,19650209 18:00,0.05
COOP:474961,MADISON DANE CO REGIONAL AIRPORT WI US,19650209 19:00,0.01
COOP:474961,MADISON DANE CO REGIONAL AIRPORT WI US,19650209 22:00,0.01
COOP:474961,MADISON DANE CO REGIONAL AIRPORT WI US,19650209 23:00,0.01
COOP:474961,MADISON DANE CO REGIONAL AIRPORT WI US,19650210 00:00,0.15
COOP:474961,MADISON DANE CO REGIONAL AIRPORT WI US,19650210 01:00,0.03
COOP:474961,MADISON DANE CO REGIONAL AIRPORT WI US,19650211 20:00,0.01
COOP:474961,MADISON DANE CO REGIONAL AIRPORT WI US,19650211 21:00,0.02
COOP:474961,MADISON DANE CO REGIONAL AIRPORT WI US,19650211 22:00,0.02
COOP:474961,MADISON DANE CO REGIONAL AIRPORT WI US,19650211 23:00,0.06
COOP:474961,MADISON DANE CO REGIONAL AIRPORT WI US,19650212 00:00,0.08
COOP:474961,MADISON DANE CO REGIONAL AIRPORT WI US,19650212 01:00,0.05
COOP:474961,MADISON DANE CO REGIONAL AIRPORT WI US,19650212 04:00,0.01
COOP:474961,MADISON DANE CO REGIONAL AIRPORT WI US,19650212 06:00,0.01
COOP:474961,MADISON DANE CO REGIONAL AIRPORT WI US,19650212 08:00,0.01
COOP:474961,MADISON DANE CO REGIONAL AIRPORT WI US,19650212 12:00,0.03
COOP:474961,MADISON DANE CO REGIONAL AIRPORT WI US,19650212 13:00,0.01
COOP:474961,MADISON DANE CO REGIONAL AIRPORT WI US,19650223 10:00,0.01
COOP:474961,MADISON DANE CO REGIONAL AIRPORT WI US,19650223 11:00,0.01
COOP:474961,MADISON DANE CO REGIONAL AIRPORT WI US,19650223 17:00,0.01
COOP:474961,MADISON DANE CO REGIONAL AIRPORT WI US,19650223 18:00,0.02
COOP:474961,MADISON DANE CO REGIONAL AIRPORT WI US,19650223 19:00,0.02
COOP:474961,MADISON DANE CO REGIONAL AIRPORT WI US,19650223 20:00,0.01
COOP:474961,MADISON DANE CO REGIONAL AIRPORT WI US,19650224 11:00,0.01
COOP:474961,MADISON DANE CO REGIONAL AIRPORT WI US,19650224 13:00,0.01
COOP:474961,MADISON DANE CO REGIONAL AIRPORT WI US,19650301 01:00,0.00
COOP:474961,MADISON DANE CO REGIONAL AIRPORT WI US,19650301 15:00,0.01
COOP:474961,MADISON DANE CO REGIONAL AIRPORT WI US,19650301 17:00,0.01
COOP:474961,MADISON DANE CO REGIONAL AIRPORT WI US,19650301 18:00,0.02
COOP:474961,MADISON DANE CO REGIONAL AIRPORT WI US,19650301 19:00,0.01
COOP:474961,MADISON DANE CO REGIONAL AIRPORT WI US,19650301 20:00,0.02
COOP:474961,MADISON DANE CO REGIONAL AIRPORT WI US,19650301 21:00,0.02
COOP:474961,MADISON DANE CO REGIONAL AIRPORT WI US,19650301 23:00,0.01
COOP:474961,MADISON DANE CO REGIONAL AIRPORT WI US,19650302 00:00,0.02
COOP:474961,MADISON DANE CO REGIONAL AIRPORT WI US,19650302 01:00,0.02
COOP:474961,MADISON DANE CO REGIONAL AIRPORT WI US,19650302 02:00,0.01
COOP:474961,MADISON DANE CO REGIONAL AIRPORT WI US,19650302 03:00,0.04
COOP:474961,MADISON DANE CO REGIONAL AIRPORT WI US,19650302 16:00,0.03
